"Domain","Device_or_signal","MCU_bus_or_pin","Direction_and_active_level","Software_owner","Configured_value_or_mapping","Safe_state_or_failure_action","Evidence","Status","Confidence","Human_confirmation"
"MCU","STM32G0B1CBTx","LQFP48","N/A","Core + App_Main","64 MHz system clock; FreeRTOS static tasks","Critical init/task failure -> Int_Fault_Panic","bms24v_platform/MDK-ARM/bms24v_platform.uvprojx:10-21; bms24v_platform/bms24v_platform.ioc:43-44,221; App/App_Main.c:269-377","Fact","High","Not needed"
"AFE","BQ76952 I2C","I2C1 PB6=SCL PB7=SDA; 7-bit 0x08","bidirectional; open-drain","Int_BQ76952 / App_BatMan","non-CRC default; per-HAL call <=10 ms; outer transaction deadline","Any transaction error rejects frame; config/init error keeps FETs off","Int/Int_BQ76952_BSP.h:12-23; bms24v_platform/Core/Src/i2c.c:41-64,139-146; Int/Int_BQ76952.c:24-38,131-240","Software fact; hardware Comm Type not remeasured","High","Needed"
"AFE","BQ ALERT","PB4 EXTI","input; active-low; falling edge; pull-up","ISR -> App_Safety + App_BatMan","sequence/pending latch; no I2C in ISR","ISR first forces SC standby; event inhibits power until resolved","bms24v_platform/Core/Inc/main.h:76-79; bms24v_platform/Core/Src/gpio.c:97-111; bms24v_platform/Core/Src/stm32g0xx_it.c:204-212; Int/Int_BQ76952.c:593-641","Fact","High","Needed: alert-to-gate latency HIL"
"AFE","BQ cell channels","VC1 VC2 VC6 VC9 VC12 VC16","analog inputs","App_BatMan_Config / Sample","6S sparse mapping; all other VC channels grouped/disabled per board","Invalid/out-of-range cell rejects power enable; critical protection latches","Int/Int_BQ76952_BSP.h:228-249; App/App_BatMan_Sample.c:307-347; official_chip_docs_files/BQ76930_to_BQ76952_逻辑替换设计说明.md:182-188","Fact","High","Needed: per-cell injection"
"AFE","BQ current shunt","SRP/SRN","analog differential","App_BatMan / Com_SOC/SOH","software/hardware baseline is 5 mOhm in current rules; older netlist text conflicts","Invalid current frame is rejected; polarity/calibration must be measured","docs/rules/hardware_rules.md:81-86; docs/wordflow/manual_confirmations.md:7; official_chip_docs_files/BQ76930_to_BQ76952_逻辑替换设计说明.md:189","Conflict","Medium","Needed: resistance and sign calibration"
"AFE","TS1 temperature","BQ TS1 analog","input","App_BatMan_Config / Sample / App_Power","TS1 enabled as 18 kOhm thermistor candidate; exact NTC/Beta is Unknown","Invalid/out-of-range TS marks temperature fault; no IC-temp fallback for power authorization","App/App_BatMan_Config.c:114-118; App/App_BatMan_Sample.c:228-280,301-336,475-504; docs/rules/hardware_rules.md:83-86","Unknown hardware model","Medium","Needed: BOM and chamber calibration"
"AFE","TS3 temperature","BQ TS3 analog","input","App_BatMan_Config / Sample","currently disabled in manifest; board resource/model unresolved","Must not be treated as valid cell temperature","App/App_BatMan_Config.c:114-118; docs/rules/hardware_rules.md:83-86","Unknown / intentionally disabled","Medium","Needed"
"AFE","DFETOFF and DCHG","BQ pins 30/31; not MCU GPIO","analog NTC resources on current board","BQ configuration","10 kOhm/B3950 networks documented; final DM mode/readback not established here","Cannot serve as independent MCU main-FET shutdown","official_chip_docs_files/BQ76930_to_BQ76952_逻辑替换设计说明.md:189-200; official_chip_docs_files/full_netlist (4).csv:31-32,186-193","Hardware fact; configuration partly Unknown","High","Needed: schematic + readback"
"AFE","CFETOFF / independent main-FET safety gate","No MCU pin mapping; BQ CFETOFF unconnected in netlist review","N/A","None","No independent MCU CHG/DSG gate-off path; BQ all-off starts only after clock + I2C1 are usable","Software/IWDG reset and early I2C command cannot equal an independent hardware gate; reset-to-command exposure remains and BQ autonomous protection is primary","bms24v_platform/Core/Src/main.c:83-110; bms24v_platform/Core/Inc/main.h:60-79; official_chip_docs_files/full_netlist (4).csv:29-45; official_chip_docs_files/BQ76930_to_BQ76952_逻辑替换设计说明.md:189-200","Hardware limitation","High","Needed: ERC, reset-to-BQ-gate waveform and safety-goal decision"
"AFE","BQ CHG/DSG/PCHG/PDSG","BQ gate outputs","outputs","App_Power -> App_BatMan_Config -> Int_BQ76952","desired/commanded/observed tracked; selective FET_CONTROL; safe init all-off; POR/CFGUPDATE/FET_EN fingerprint triggers a 1500 ms full reauthentication transaction","Frame/config proof loss stops SC first, then mutates proof/revokes Safety ready and best-effort closes FETs; offline Power retries all-off every cycle; recovery needs full manifest verification plus next complete frame; SC start failure rolls BQ back off in the same Power cycle","App/App_BatMan.h:27-41,151-177; App/App_BatMan_Sample.c:281-336,411-472; App/App_BatMan.c:294-346,673-684; App/App_BatMan_Config.c:75-78,463-811; App/App_Power.c:206-290,586-657","Software closed; HIL blocked","High","Needed: disconnect/POR/recovery and gate waveforms"
